i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
61,7,"(19, 88)","(0.15234375, 0.69140625)","(0.1484375, 0.6875)","(0.15625, 0.6953125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
62,7,"(18, 88)","(0.14453125, 0.69140625)","(0.140625, 0.6875)","(0.1484375, 0.6953125)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
63,7,"(18, 89)","(0.14453125, 0.69921875)","(0.140625, 0.6953125)","(0.1484375, 0.703125)",0.006657424804666,4.09595562037203e-07,4.3911709467744915e-05
64,7,"(17, 89)","(0.13671875, 0.69921875)","(0.1328125, 0.6953125)","(0.140625, 0.703125)",0.001569908644262782,1.2880038189925197e-07,2.3358127694317545e-06
65,7,"(17, 88)","(0.13671875, 0.69140625)","(0.1328125, 0.6875)","(0.140625, 0.6953125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
66,7,"(16, 88)","(0.12890625, 0.69140625)","(0.125, 0.6875)","(0.1328125, 0.6953125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
67,7,"(16, 89)","(0.12890625, 0.69921875)","(0.125, 0.6953125)","(0.1328125, 0.703125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
68,7,"(16, 90)","(0.12890625, 0.70703125)","(0.125, 0.703125)","(0.1328125, 0.7109375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
69,7,"(17, 90)","(0.13671875, 0.70703125)","(0.1328125, 0.703125)","(0.140625, 0.7109375)",0.004139995129779005,7.909602326194575e-07,1.6348599441974425e-05
70,7,"(17, 91)","(0.13671875, 0.71484375)","(0.1328125, 0.7109375)","(0.140625, 0.71875)",0.005854490174344709,7.51210316293835e-07,3.3523844885204913e-05
71,7,"(16, 91)","(0.12890625, 0.71484375)","(0.125, 0.7109375)","(0.1328125, 0.71875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
72,7,"(16, 92)","(0.12890625, 0.72265625)","(0.125, 0.71875)","(0.1328125, 0.7265625)",0.0013740314717312747,7.13064392202213e-08,1.8166560460877913e-06
73,7,"(16, 93)","(0.12890625, 0.73046875)","(0.125, 0.7265625)","(0.1328125, 0.734375)",0.0029318922806516423,5.283200122404439e-07,8.067672333104244e-06
74,7,"(17, 93)","(0.13671875, 0.73046875)","(0.1328125, 0.7265625)","(0.140625, 0.734375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
75,7,"(17, 92)","(0.13671875, 0.72265625)","(0.1328125, 0.71875)","(0.140625, 0.7265625)",0.006822347526953028,3.151159454558956e-07,4.62293098330662e-05
76,6,"(9, 46)","(0.1484375, 0.7265625)","(0.140625, 0.71875)","(0.15625, 0.734375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
77,6,"(9, 47)","(0.1484375, 0.7421875)","(0.140625, 0.734375)","(0.15625, 0.75)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
78,7,"(17, 95)","(0.13671875, 0.74609375)","(0.1328125, 0.7421875)","(0.140625, 0.75)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
79,7,"(17, 94)","(0.13671875, 0.73828125)","(0.1328125, 0.734375)","(0.140625, 0.7421875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
80,7,"(16, 94)","(0.12890625, 0.73828125)","(0.125, 0.734375)","(0.1328125, 0.7421875)",0.0038464575303347355,6.140434797840137e-07,1.418119205288478e-05
