i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
66,7,"(79, 93)","(0.62109375, 0.73046875)","(0.6171875, 0.7265625)","(0.625, 0.734375)",0.005310458131556514,9.279441195567427e-08,2.8108171155059024e-05
67,7,"(79, 92)","(0.62109375, 0.72265625)","(0.6171875, 0.71875)","(0.625, 0.7265625)",0.005310458133730319,9.279441195567407e-08,2.8108171178146825e-05
68,7,"(78, 92)","(0.61328125, 0.72265625)","(0.609375, 0.71875)","(0.6171875, 0.7265625)",0.0039581397647394986,9.35087802239631e-34,1.5666870397212054e-05
69,7,"(78, 93)","(0.61328125, 0.73046875)","(0.609375, 0.7265625)","(0.6171875, 0.734375)",0.003958139759131732,9.361900118645189e-34,1.5666870352819403e-05
70,6,"(38, 46)","(0.6015625, 0.7265625)","(0.59375, 0.71875)","(0.609375, 0.734375)",0.007824786976244903,9.805771888630538e-30,6.122729122361185e-05
71,6,"(38, 47)","(0.6015625, 0.7421875)","(0.59375, 0.734375)","(0.609375, 0.75)",0.007824786872062402,6.690645988839832e-30,6.12272895932001e-05
72,5,"(18, 23)","(0.578125, 0.734375)","(0.5625, 0.71875)","(0.59375, 0.75)",0.015283869119318897,5.718579973524819e-24,0.0002335966552564698
73,5,"(18, 22)","(0.578125, 0.703125)","(0.5625, 0.6875)","(0.59375, 0.71875)",0.015283872757998447,8.512827475593073e-24,0.00023359676648268706
74,6,"(38, 44)","(0.6015625, 0.6953125)","(0.59375, 0.6875)","(0.609375, 0.703125)",0.007824787053745905,1.2504667221306941e-29,6.122729243646952e-05
75,6,"(38, 45)","(0.6015625, 0.7109375)","(0.59375, 0.703125)","(0.609375, 0.71875)",0.007824787042086421,1.2078732769431049e-29,6.122729225400357e-05
76,7,"(78, 90)","(0.61328125, 0.70703125)","(0.609375, 0.703125)","(0.6171875, 0.7109375)",0.003958139771522317,9.35800491607565e-34,1.566687045090674e-05
77,7,"(78, 91)","(0.61328125, 0.71484375)","(0.609375, 0.7109375)","(0.6171875, 0.71875)",0.003958139768957383,9.403990622421803e-34,1.5666870430602008e-05
78,7,"(79, 91)","(0.62109375, 0.71484375)","(0.6171875, 0.7109375)","(0.625, 0.71875)",0.005310458135365345,9.279441195567413e-08,2.810817119551231e-05
79,7,"(79, 90)","(0.62109375, 0.70703125)","(0.6171875, 0.703125)","(0.625, 0.7109375)",0.00531045813635962,9.2794411955674e-08,2.8108171206072417e-05
80,7,"(79, 89)","(0.62109375, 0.69921875)","(0.6171875, 0.6953125)","(0.625, 0.703125)",0.005310458136649351,9.279441195567393e-08,2.8108171209149626e-05
81,7,"(78, 89)","(0.61328125, 0.69921875)","(0.609375, 0.6953125)","(0.6171875, 0.703125)",0.003958139772269737,9.460642103291743e-34,1.5666870456823526e-05
82,7,"(78, 88)","(0.61328125, 0.69140625)","(0.609375, 0.6875)","(0.6171875, 0.6953125)",0.003958139771151058,9.460844141383293e-34,1.5666870447967752e-05
83,7,"(79, 88)","(0.62109375, 0.69140625)","(0.6171875, 0.6875)","(0.625, 0.6953125)",0.005310458136215706,9.2794411955674e-08,2.8108171204543912e-05
84,7,"(79, 87)","(0.62109375, 0.68359375)","(0.6171875, 0.6796875)","(0.625, 0.6875)",0.005310458135086829,9.279441195567417e-08,2.8108171192554215e-05
85,7,"(79, 86)","(0.62109375, 0.67578125)","(0.6171875, 0.671875)","(0.625, 0.6796875)",0.005310458133334832,9.279441195567413e-08,2.8108171173946395e-05
86,7,"(78, 86)","(0.61328125, 0.67578125)","(0.609375, 0.671875)","(0.6171875, 0.6796875)",0.0039581397637192635,9.388463995086372e-34,1.5666870389135588e-05
87,7,"(78, 87)","(0.61328125, 0.68359375)","(0.609375, 0.6796875)","(0.6171875, 0.6875)",0.003958139768238895,9.414108598211008e-34,1.566687042491425e-05
88,6,"(38, 43)","(0.6015625, 0.6796875)","(0.59375, 0.671875)","(0.609375, 0.6875)",0.007824787008304187,1.088308904678106e-29,6.122729172532599e-05
89,6,"(38, 42)","(0.6015625, 0.6640625)","(0.59375, 0.65625)","(0.609375, 0.671875)",0.007824786916948177,7.960263560517816e-30,6.122729029564336e-05
90,7,"(78, 84)","(0.61328125, 0.66015625)","(0.609375, 0.65625)","(0.6171875, 0.6640625)",0.003958139751041753,9.299973606875934e-34,1.5666870288776875e-05
91,7,"(78, 85)","(0.61328125, 0.66796875)","(0.609375, 0.6640625)","(0.6171875, 0.671875)",0.003958139757871928,9.387790840899534e-34,1.5666870342846443e-05
92,7,"(79, 85)","(0.62109375, 0.66796875)","(0.6171875, 0.6640625)","(0.625, 0.671875)",0.005310458131068161,9.27944119556743e-08,2.8108171149872272e-05
